10 

 0 79 32 57 68 99 97 80 90 10
79  0 96 62 55 11 79 17 28 88
32 96  0 89 21 33  4 26 75 78
57 62 89  0 23 57 68 66 32 15
68 55 21 23  0 33 84 54 95  5
99 11 33 57 33  0 14 86 29 53
97 79  4 68 84 14  0 95 74 15
80 17 26 66 54 86 95  0 34 38
90 28 75 32 95 29 74 34  0 22
10 88 78 15  5 53 15 38 22  0

 0 78 22 43 86  8 99  5 32 89
78  0  2 81 24 83 92 36 31 73
22  2  0 38 50 32 66 73  6  8
43 81 38  0 53 75 40  8 63 30
86 24 50 53  0 41 29 68 52 83
 8 83 32 75 41  0 68 44  0 56
99 92 66 40 29 68  0 46 64 79
 5 36 73  8 68 44 46  0 74 19
32 31  6 63 52  0 64 74  0  2
89 73  8 30 83 56 79 19  2  0
